Byte_Position,Bit_1_Count,Bit_0_Count
1001472,8192,0
1002496,8192,0
1003520,8192,0
1004544,8192,0
1005568,8192,0
1006592,8192,0
1007616,8192,0
1008640,8192,0
1009664,8192,0
1010688,8192,0
1011712,8192,0
1012736,8192,0
1013760,8192,0
1014784,8192,0
1015808,8192,0
1016832,8192,0
1017856,8192,0
1018880,8192,0
1019904,8192,0
1020928,8192,0
1021952,8192,0
1022976,8192,0
1024000,8192,0
1025024,8192,0
1026048,8192,0
1027072,8192,0
1028096,8192,0
1029120,8192,0
1030144,8192,0
1031168,8192,0
1032192,8192,0
1033216,8192,0
1034240,8192,0
1035264,8192,0
1036288,8192,0
1037312,8192,0
1038336,8192,0
1039360,8192,0
1040384,8192,0
1041408,8192,0
1042432,8192,0
1043456,7431,761
1044480,8192,0
1045504,8192,0
1046528,8192,0
1047552,8192,0
1048576,8192,0
1049600,8192,0
1050624,8192,0
1051648,8192,0
1052672,8192,0
1053696,8192,0
1054720,8192,0
1055744,8192,0
1056768,8192,0
1057792,8192,0
1058816,8192,0
1059840,8192,0
1060864,8192,0
1061888,8192,0
1062912,8192,0
1063936,8192,0
1064960,8192,0
1065984,8192,0
1067008,8192,0
1068032,8192,0
1069056,8192,0
1070080,8192,0
1071104,8192,0
1072128,8192,0
1073152,8192,0
1074176,8192,0
1075200,8192,0
1076224,8192,0
1077248,8192,0
1078272,8192,0
1079296,8192,0
1080320,8192,0
1081344,8192,0
1082368,8192,0
1083392,8192,0
1084416,8192,0
1085440,8192,0
1086464,8192,0
1087488,8192,0
1088512,8192,0
1089536,8192,0
1090560,8192,0
1091584,8192,0
1092608,8192,0
1093632,8192,0
1094656,8192,0
1095680,8192,0
1096704,8192,0
1097728,8192,0
1098752,8192,0
1099776,8192,0
1100800,8192,0
1101824,8192,0
1102848,8192,0
1103872,8192,0
1104896,8192,0
1105920,8192,0
1106944,8192,0
1107968,8192,0
1108992,8192,0
1110016,8192,0
1111040,8192,0
1112064,8192,0
1113088,8192,0
1114112,8192,0
1115136,8192,0
